node_id,osm_node_id,lng,lat
347,42457426,-74.0084332,40.7347802
348,42440335,-74.008418,40.70953
349,370880734,-74.0084093,40.7028105
350,42449597,-74.0084008,40.7143685
351,42436115,-74.0083997,40.7296297
352,42449345,-74.0083751,40.7439579
353,42449089,-74.0083743,40.7355248
354,1104165608,-74.0083678,40.7211966
355,42430557,-74.0083657,40.7166018
356,4207978498,-74.0083516,40.7509093
357,42442288,-74.0083464,40.7259304
358,42436308,-74.0083433,40.7213301
359,42421946,-74.008325,40.703813
360,42451409,-74.008323,40.7027323
361,42440943,-74.0083227,40.7361909
362,3874653357,-74.0083057,40.7439276
363,373903786,-74.0082867,40.7455892
364,42427494,-74.0082754,40.7502561
365,42422053,-74.008269,40.7077219
366,42459436,-74.008254,40.736953
367,42439295,-74.0082461,40.7446947
368,4207862999,-74.0082389,40.7430491
369,246650840,-74.0082324,40.7493779
370,42424408,-74.0082309,40.7219848
371,42454328,-74.0082131,40.7421318
372,42436119,-74.008207,40.730343
373,42439096,-74.008206,40.737554
374,1334569028,-74.0081654,40.7507863
375,42454758,-74.008154,40.7381472
376,42454600,-74.008126,40.704672
377,42429666,-74.0081247,40.7453865
378,42436340,-74.0081187,40.7226441
379,272195270,-74.0081091,40.7120089
380,42431508,-74.008103,40.738759
381,42455357,-74.008051,40.7393804
382,42437915,-74.0080316,40.7494285
383,3788379696,-74.0080302,40.72077
384,4872623863,-74.0080171,40.7459892
385,42448583,-74.0080159,40.7079881
386,4899886546,-74.0080157,40.7517801
387,42436014,-74.0080097,40.7232849
388,42436122,-74.008009,40.7310668
389,42442107,-74.008007,40.705447
390,42424334,-74.0079995,40.7211998
391,42421965,-74.0079771,40.7032082
392,42431154,-74.0079644,40.7402946
393,42429832,-74.0079572,40.7171217
394,42431611,-74.0079521,40.7149352
395,4142105822,-74.0079472,40.7236541
396,42444414,-74.007936,40.7055447
397,42424619,-74.0079297,40.7237578
398,246648219,-74.0079278,40.742541
399,4145794842,-74.0078705,40.7032681
400,588545728,-74.0078702,40.71148
401,4143875757,-74.0078609,40.7117395
402,42427393,-74.0078599,40.746795
403,246579751,-74.0078427,40.7485897
404,4872498376,-74.0078396,40.7500781
405,246579753,-74.0078318,40.7480596
406,42445314,-74.0078198,40.751707
407,42424347,-74.0078146,40.7209099
408,42436126,-74.0078076,40.7317805
409,4207978499,-74.0078036,40.7523476
410,370880758,-74.0077898,40.703049
411,42432116,-74.0077807,40.7245757
412,42421951,-74.0077787,40.7033242
413,3658821413,-74.0077769,40.7108165
414,246885877,-74.0077632,40.7233639
415,42440287,-74.007745,40.710221
416,42443677,-74.0077312,40.7475038
417,4629486879,-74.0077224,40.7234955
418,42445766,-74.007705,40.742834
419,246579597,-74.0076956,40.7477566
420,246580301,-74.0076805,40.7487054
421,42452630,-74.007671,40.704285
422,42436353,-74.007669,40.725192
423,2821304138,-74.0076602,40.7125409
424,6262915547,-74.0076525,40.7083571
425,246580736,-74.0076496,40.7481843
426,42434827,-74.0075669,40.7523939
427,42436355,-74.0075547,40.7258538
428,2821304142,-74.0075521,40.7116701
429,42445356,-74.0075519,40.7154408
430,42424354,-74.0075453,40.7208183
431,42452816,-74.0075333,40.7176679
432,42426060,-74.0075216,40.7239092
433,42436129,-74.0075146,40.7328706
434,4783358910,-74.0075072,40.7431034
435,42429412,-74.0074994,40.7409399
436,42426089,-74.0074947,40.723454
437,4783358909,-74.0074665,40.7431589
438,42429842,-74.0074544,40.7060628
439,6262915548,-74.0074464,40.7072268
440,42436359,-74.0074233,40.726601
441,42422258,-74.0074126,40.7482137
442,42453902,-74.0074038,40.7051753
443,42431703,-74.007399,40.73337
444,5490721611,-74.0073905,40.7178505
445,1538237434,-74.0073842,40.7105761
446,1701898659,-74.0073702,40.7206385
447,42436134,-74.007344,40.733588
448,42436364,-74.0073052,40.727328
449,6129324449,-74.0072999,40.7036208
450,42438684,-74.0072934,40.7530892
451,42440343,-74.0072883,40.7087143
452,4899886584,-74.0072513,40.7538456
453,42449341,-74.007238,40.74347
454,2821304137,-74.0072254,40.7130447
455,42436369,-74.007203,40.72805
456,42436135,-74.007162,40.734296
457,42434418,-74.007136,40.7063877
458,42424630,-74.0070994,40.7244054
459,42430550,-74.0070959,40.716013
460,42436371,-74.0070745,40.7287662
461,42444223,-74.0070607,40.7037691
462,42448162,-74.007052,40.718269
463,2821304143,-74.0070496,40.7117884
464,4207150079,-74.0070433,40.7185721
465,246580758,-74.0070372,40.7489204
466,42427828,-74.0070337,40.75379
467,42423514,-74.007029,40.724504
468,42454325,-74.0069928,40.7416402
469,4215665530,-74.0069886,40.7231069
470,42436139,-74.0069783,40.7349954
471,559862621,-74.0069672,40.7250133
472,42443844,-74.0069661,40.7117008
473,6210448864,-74.0069564,40.7301256
474,42436374,-74.0069526,40.7294927
475,4207978496,-74.0069476,40.7497094
476,42452700,-74.0069454,40.7048029
477,6133374846,-74.0069403,40.7055012
478,6210448846,-74.0069382,40.7302326
479,42453038,-74.0069347,40.7191185
480,42430589,-74.006932,40.7488769
481,42424382,-74.0069168,40.7212295
